logA,logB,ccheu,ccind,ccdcr,ccfreq,ccdur,cctime
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_3.xes,0.81,0.87,0,0.7001933727272727,1,0.3283582089552239
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_4.xes,0.77,0.83,0,0.6553588590909091,1,0.4
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_5.xes,0.71,0.77,0,0.5912659818181819,1,0.25287356321839083
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_6.xes,0.66,0.72,0,0.5439671909090908,1,0.16541353383458646
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_7.xes,0.58,0.61,0,0.44969934545454543,1,0.08627451
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_8.xes,0.5,0.56,0,0.3978922136363636,1,0.069400631
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_9.xes,0.41,0.46,0,0.29738381363636357,1,0.046952037422347374
repetitiveness_2_loc_100_0.xes,repetitiveness_2_loc_100_0.xes,0.95,1.0,1.0,0.856155651851852,1.0,1.0
repetitiveness_2_loc_100_0.xes,repetitiveness_2_loc_100_1.xes,0.91,0.96,0.0,0.8095966333333332,1.0,1.0
repetitiveness_2_loc_100_0.xes,repetitiveness_2_loc_100_2.xes,0.89,0.94,0.0,0.7723409111111111,1.0,1.0
repetitiveness_2_loc_100_0.xes,repetitiveness_2_loc_100_3.xes,0.86,0.9,0.0,0.7363289592592591,1.0,1.0
repetitiveness_2_loc_100_0.xes,repetitiveness_2_loc_100_4.xes,0.84,0.89,0.0,0.7011588222222221,1.0,1.0
repetitiveness_2_loc_100_0.xes,repetitiveness_2_loc_100_5.xes,0.82,0.86,0.0,0.6766977851851853,1.0,1.0
repetitiveness_2_loc_100_0.xes,repetitiveness_2_loc_100_6.xes,0.79,0.84,0.0,0.6261338888888889,1.0,1.0
repetitiveness_2_loc_100_0.xes,repetitiveness_2_loc_100_7.xes,0.77,0.81,0.0,0.5848464296296296,1.0,1.0
repetitiveness_2_10_0.xes,repetitiveness_2_10_1.xes,0.8,0.9,0.0,0.8034577272727272,N/A,1.0
repetitiveness_2_10_0.xes,repetitiveness_2_10_2.xes,0.8,0.8,0.0,0.7511770909090909,N/A,1.0
repetitiveness_2_10_0.xes,repetitiveness_2_10_3.xes,0.8,0.8,0.0,0.7181430454545455,N/A,1.0
repetitiveness_2_10_0.xes,repetitiveness_2_10_1.xes,0.8,0.9,0.0,0.8034577272727272,N/A,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_0.xes,0.93,1.0,1.0,0.8552624636363637,1.0,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_1.xes,0.89,0.95,0.0,0.8012353818181819,1.0,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_2.xes,0.87,0.92,0.0,0.7635381545454546,1.0,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_3.xes,0.85,0.89,0.0,0.7125922454545455,1.0,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_4.xes,0.83,0.87,0.0,0.6756764227272728,1.0,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_5.xes,0.81,0.85,0.0,0.6368348818181818,1.0,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_0.xes,0.93,1.0,1.0,0.8552624636363637,1.0,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_1.xes,0.89,0.95,0.0,0.8012353818181819,1.0,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_2.xes,0.87,0.92,0.0,0.7635381545454546,1.0,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_3.xes,0.85,0.89,0.0,0.7125922454545455,1.0,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_4.xes,0.83,0.87,0.0,0.6756764227272728,1.0,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_0.xes,0.93,1.0,1.0,0.8552624636363637,1.0,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_1.xes,0.89,0.95,0.0,0.8012353818181819,1.0,1.0
Example/logNormal.xes,Example/logAbsence.xes,0.751,0.751,0.0,0.75,0.6672693708333334,0.9033220712512192
repetitiveness_2_100_0.xes,repetitiveness_2_100_0.xes,0.93,1.0,1.0,0.8552624636363637,0.7814920983653846,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_1.xes,0.89,0.95,0.0,0.8012353818181819,0.7399110047390108,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_2.xes,0.87,0.91,0.0,0.7635381545454546,0.7167712489703191,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_3.xes,0.85,0.88,0.0,0.7125922454545455,0.696382913870125,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_4.xes,0.83,0.86,0.0,0.6756764227272728,0.6661074866578871,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_5.xes,0.81,0.83,0.0,0.6368348818181818,0.6388179816415852,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_6.xes,0.79,0.8,0.0,0.5852959818181817,0.6019286939349694,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_7.xes,0.76,0.78,0.0,0.5382592363636364,0.5832916747652219,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_8.xes,0.75,0.75,0.0,0.49726794545454545,0.5586100429118753,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_9.xes,0.73,0.73,0.0,0.4517375954545454,0.5487433544431544,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_10.xes,0.72,0.72,0.0,0.43570465454545454,0.5519019292953585,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_0.xes,0.93,1.0,1.0,0.8552624636363637,0.7814920983653846,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_0.xes,0.93,1.0,1.0,0.8552624636363637,0.7814920983653846,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_0.xes,0.93,1.0,1.0,0.8552624636363637,0.7814920983653846,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_0.xes,N/A,N/A,N/A,N/A,N/A,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_1.xes,N/A,N/A,N/A,N/A,N/A,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_2.xes,N/A,N/A,N/A,N/A,N/A,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_0.xes,N/A,N/A,N/A,N/A,N/A,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_1.xes,N/A,N/A,N/A,N/A,N/A,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_2.xes,N/A,N/A,N/A,N/A,N/A,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_3.xes,N/A,N/A,N/A,N/A,N/A,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_4.xes,N/A,N/A,N/A,N/A,N/A,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_5.xes,N/A,N/A,N/A,N/A,N/A,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_6.xes,N/A,N/A,N/A,N/A,N/A,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_7.xes,N/A,N/A,N/A,N/A,N/A,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_8.xes,N/A,N/A,N/A,N/A,N/A,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_9.xes,N/A,N/A,N/A,N/A,N/A,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_10.xes,N/A,N/A,N/A,N/A,N/A,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_0.xes,N/A,N/A,N/A,N/A,N/A,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_1.xes,N/A,N/A,N/A,N/A,N/A,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_2.xes,N/A,N/A,N/A,N/A,N/A,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_3.xes,N/A,N/A,N/A,N/A,N/A,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_4.xes,N/A,N/A,N/A,N/A,N/A,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_5.xes,N/A,N/A,N/A,N/A,N/A,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_6.xes,N/A,N/A,N/A,N/A,N/A,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_7.xes,N/A,N/A,N/A,N/A,N/A,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_8.xes,N/A,N/A,N/A,N/A,N/A,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_9.xes,N/A,N/A,N/A,N/A,N/A,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_0.xes,N/A,N/A,N/A,N/A,N/A,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_1.xes,N/A,N/A,N/A,N/A,N/A,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_2.xes,N/A,N/A,N/A,N/A,N/A,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_3.xes,N/A,N/A,N/A,N/A,N/A,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_0.xes,N/A,N/A,N/A,N/A,N/A,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_0.xes,N/A,N/A,N/A,N/A,N/A,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_1.xes,N/A,N/A,N/A,N/A,N/A,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_2.xes,N/A,N/A,N/A,N/A,N/A,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_3.xes,N/A,N/A,N/A,N/A,N/A,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_4.xes,N/A,N/A,N/A,N/A,N/A,1.0
repetitiveness_2_100_0.xes,repetitiveness_2_100_5.xes,N/A,N/A,N/A,N/A,N/A,1.0
